hollywoodFilms,Genre,rottenTomatoesRatings%,audienceRatings,budget
Funny People,Comedy,0.68,0.58,75
Furry Vengeance,Comedy,0.08,0.36,35
G-Force,Action,0.22,0.5,150
G.I. Joe: The Rise of Cobra,Action,0.33,0.62,175
Gamer,Action,0.29,0.43,13
Get Him to the Greek,Comedy,0.73,0.63,40
Get Smart,Action,0.51,0.73,80
Ghost Rider,Action,0.28,0.56,110
Ghost Town,Comedy,0.85,0.6,20
Ghosts of Girlfriends Past,Comedy,0.27,0.47,50
Going the Distance,Comedy,0.53,0.56,32
Good Luck Chuck,Comedy,0.03,0.61,25
Gran Torino,Drama,0.8,0.9,33
Green Lantern,Action,0.27,0.48,200
Green Zone,Action,0.53,0.6,100
Greenberg,Comedy,0.75,0.4,4
Grindhouse,Action,0.82,0.86,53
Grown Ups,Comedy,0.1,0.59,80
Gulliver's Travels,Comedy,0.21,0.31,112
Hachiko: A Dog's Story,Drama,0.58,0.85,16
Hall Pass,Comedy,0.35,0.44,36
Halloween,Horror,0.26,0.64,20
Halloween II,Horror,0.2,0.45,15
Hancock,Action,0.4,0.67,150
Hanna,Action,0.71,0.67,30
Hannah Montana: The Movie,Comedy,0.44,0.66,35
Harold and Kumar Escape from Guantanamo Bay,Adventure,0.54,0.65,12
Harry Potter and the Deathly Hallows Part 1,Adventure,0.79,0.87,125
Harry Potter and the Half-Blood Prince,Adventure,0.83,0.75,250
Harry Potter and the Order of the Phoenix,Adventure,0.78,0.82,150
He's Just Not That Into You,Comedy,0.42,0.6,25
Hellboy II: The Golden Army,Action,0.87,0.7,83
Hesher,Drama,0.54,0.68,7
High School Musical 3: Senior Year,Comedy,0.65,0.76,11
Hitman,Action,0.15,0.61,18
Horrible Bosses,Comedy,0.69,0.72,35
Hostel: Part II,Horror,0.44,0.45,10
Hot Tub Time Machine,Adventure,0.64,0.57,36
Hotel for Dogs,Comedy,0.46,0.57,35
Hugo,Adventure,0.93,0.84,150
I Am Legend,Thriller,0.69,0.69,150
I Am Number Four,Thriller,0.32,0.57,60
I Love You Beth Cooper,Comedy,0.14,0.38,18
