"Timestamp","แบรนด์ของชาไข่มุกแบรนด์ไหนที่คุณชื่นชอบมากที่สุด"
"2561/12/12 9:27:05 หลังเที่ยง GMT+7","KOI Thé"
"2561/12/12 9:28:40 หลังเที่ยง GMT+7","Ochaya"
